source_name,title,url,pub_date,discard_reason
Techcabal,"With US visa bond, the path to Silicon Valley just got steeper for African startups",https://techcabal.com/2026/01/07/what-us-visa-bond-mean-africa-startups/,2026-01-07,"Government policy/visa regulation, not company-specific AI business news"
Techcabal,"How Ethiopia, Somalia and Djibouti are building Africa’s overlooked digital powerhouses",https://techcabal.com/2026/01/07/how-ethiopia-somalia-and-djibouti-building-africas-digital-powerhouses/,2026-01-07,"Infrastructure/policy development, not specific AI company business news"
Techcabal,Toluwanimi Onakoya has built a career managing startups’ hardest moments,https://techcabal.com/2026/01/07/toluwanimi-onakoya-in-tech-communications/,2026-01-07,Executive profile/career story without specific business event or announcement
Techcabal,Why Nairobi may no longer be Kenya’s only tech capital,https://techcabal.com/2026/01/07/kenya-tech-future-nairobi-monopoly/,2026-01-07,"Regional tech infrastructure/policy analysis, not AI company-specific business news"
Techcabal,👨🏿‍🚀TechCabal Daily – Crossing Jordan,https://techcabal.com/2026/01/07/techcabal-daily-crossing-jordan/,2026-01-07,Brief news digest of mixed topics without AI company focus
36Kr,36氪首发｜海尔前高管创业，居家健身品牌「沐小马」完成近千万元Pre-A轮融资,https://36kr.com/p/3628007524533248?f=rss,2026-01-08,"Home fitness equipment startup funding - consumer hardware product, not in AI value chain"
36Kr,8点1氪丨和府捞面否认是预制菜；雷军称绝对不能容忍任何诋毁诅咒车主的KOL；乔布斯私人物品Apple I原型机被拍卖,https://36kr.com/p/3630012847768832?f=rss,2026-01-08,"Mixed news about food delivery, automotive brands, and consumer products - no AI company focus"
36Kr,求购多家商业航天企业老股份额；求购新凯来公司老股份额｜资情留言板第177期,https://36kr.com/p/3629389965329669?f=rss,2026-01-07,"Asset trading marketplace/M&A listing service, not AI company business news"
36Kr,氪星晚报 ｜宜家中国：2月2日起7家门店停止运营；黄仁勋回应H200何时售往中国；高德已注册高德旺铺商标,https://36kr.com/p/3629236287456513?f=rss,2026-01-07,"Mixed financial news, stock market updates, and earnings reports without AI company focus"
36Kr,小米汽车明年拟推4款新车，包含2款增程｜36氪独家,https://36kr.com/p/3616317994681345?f=rss,2026-01-07,"Xiaomi EV product launches - automotive, not AI-specific company"
36Kr,出海价值洼地：我在拉美一线看到的真实机会,https://36kr.com/p/3628862062347528?f=rss,2026-01-07,General business strategy/market expansion article without specific AI company announcements
36Kr,100天，10亿人，一个超级入口：高德不再只是地图,https://36kr.com/p/3628814355268616?f=rss,2026-01-07,"Amap/Gaode Maps expansion coverage - mapping/location services, not AI company"
36Kr,半日主力资金加仓计算机、军工股，抛售非银金融股,https://36kr.com/newsflashes/3630244365173760?f=rss,2026-01-08,"Stock market fund flows in semiconductor/defense/industrial stocks - capital markets, not AI company specific"
36Kr,阿里业绩前瞻：淘宝闪购会继续加大投入达到市场份额绝对第一,https://36kr.com/newsflashes/3630261350007813?f=rss,2026-01-08,"E-commerce company earnings preview - traditional retail, not AI company"
36Kr,恒指午间休盘跌1.22%，恒生科技指数跌1.13%,https://36kr.com/newsflashes/3630251981030663?f=rss,2026-01-08,"Stock market index movements and sector performance, not specific AI company news"
36Kr,京东考虑首次发行点心债券，筹集14亿美元,https://36kr.com/newsflashes/3630249603761411?f=rss,2026-01-08,"Corporate debt issuance announcement - financing news, not AI company specific"
36Kr,摩根士丹利：全球基金12月增持中国股票，受被动型流入支撑,https://36kr.com/newsflashes/3630233951175944?f=rss,2026-01-08,"Fund flows and market capital movements analysis - macroeconomic data, not AI company"
36Kr,SHEIN：2025年全年开展培训近600场，覆盖供应商近3.7万次,https://36kr.com/newsflashes/3630223943959816?f=rss,2026-01-08,"E-commerce/fashion company training program - traditional retail, not AI company"
36Kr,A股三大指数午间休盘涨跌不一，航天军工板块领涨,https://36kr.com/newsflashes/3630221030163717?f=rss,2026-01-08,"Stock market sector performance and index movements - market data, not AI company specific"
36Kr,沪深两市成交额突破1.5万亿元,https://36kr.com/newsflashes/3630187347526658?f=rss,2026-01-08,"Shanghai-Shenzhen stock market transaction volume - general market data, not AI company news"
36Kr,进出口银行2025年新发放外贸领域贷款超1.2万亿元,https://36kr.com/newsflashes/3630181194286343?f=rss,2026-01-08,"Export-Import Bank lending announcement - traditional finance/trade, not AI company news"
36Kr,美国数字媒体创企Semafor完成3000万美元融资,https://36kr.com/newsflashes/3630174649304322?f=rss,2026-01-08,"Digital media startup funding - media/journalism company, not AI value chain"
36Kr,特朗普家族支持的World Liberty Financial旗下公司申请美国信托银行牌照,https://36kr.com/newsflashes/3630160462316546?f=rss,2026-01-08,"Cryptocurrency/fintech company seeking banking license - crypto company, not AI"
36Kr,智谱上市，唐杰内部信要求全面回归基础模型研究,https://36kr.com/newsflashes/3630151494026249?f=rss,2026-01-08,default_discard
36Kr,沪深两市成交额突破1万亿,https://36kr.com/newsflashes/3630142413849609?f=rss,2026-01-08,"Shanghai-Shenzhen stock market transaction volume - general market data, not AI company news"
36Kr,工业和信息化部等部门联合召开动力和储能电池行业座谈会，部署规范产业竞争秩序工作,https://36kr.com/newsflashes/3630135928177926?f=rss,2026-01-08,"Government policy meeting on energy storage battery industry - regulatory/policy announcement, not AI company news"
36Kr,苹果或2028年发布2亿像素iPhone，此前已维持主摄4800万像素数年,https://36kr.com/newsflashes/3630133622572038?f=rss,2026-01-08,"Apple iPhone camera specification announcement - consumer electronics product specs, not AI company news"
Caixinglobal,Former Provincial Official in East China Sentenced to 13 Years for Bribery,https://www.caixinglobal.com/2026-01-08/former-provincial-official-in-east-china-sentenced-to-13-years-for-bribery-102401592.html?originReferrer=Feedly,2026-01-08,"Legal/criminal news - government official bribery case, not AI company news"
Caixinglobal,In Depth: The Downfall of the Cyber Kingpin Behind the $15 Billion Bitcoin Seizure,https://www.caixinglobal.com/2026-01-08/in-depth-the-downfall-of-the-cyber-kingpin-behind-the-15-billion-bitcoin-seizure-102401515.html?originReferrer=Feedly,2026-01-08,"Cybercrime investigation - criminal/legal news, not AI company business activity"
Caixinglobal,Standard Chartered Forecasts Firmer Yuan as Beijing Shifts Focus From Exports to Finance,https://www.caixinglobal.com/2026-01-08/standard-chartered-forecasts-firmer-yuan-as-beijing-shifts-focus-from-exports-to-finance-102401513.html?originReferrer=Feedly,2026-01-08,"Currency forecast by traditional bank - finance/economics, not AI company news"
Caixinglobal,Nestlé Recalls Baby Formula in 37 Markets Over Toxin Risk,https://www.caixinglobal.com/2026-01-08/nestl-recalls-baby-formula-in-37-markets-over-toxin-risk-102401511.html?originReferrer=Feedly,2026-01-08,"Food company product recall - consumer goods/retail, not AI company news"
Caixinglobal,"China’s Forex Reserves Rise Again as Dollar Sinks, Gold Holdings Climb",https://www.caixinglobal.com/2026-01-08/chinas-forex-reserves-rise-again-as-dollar-sinks-gold-holdings-climb-102401509.html?originReferrer=Feedly,2026-01-08,"Central bank forex reserves report - macro-economic data, not AI company news"
