date,source,region,category,layer,title,contents,url
2026-01-05,36Kr,East Asia,Funding,Fine-tuning & MLOps,前中金、甲骨文团队再创业，其AI智能自动化平台渗透三成央企，再获亿元融资 | 硬氪首发,"Jiuke Information, an AI enterprise automation platform spun out from China Zhongjin Group, completed over 100 million yuan in Series B2 funding led by Shenzhen's special economic zone development fund. The startup provides intelligent agent platforms for central state-owned enterprises, with products deployed across 30% of China's central SOEs.",https://36kr.com/p/3625896773240067?f=rss
2026-01-05,36Kr,East Asia,Funding,Chips & Infrastructure,科沃斯参股基金投了一家柔性触觉感知公司，产品已上车头部新势力｜硬氪首发,"Shanghai Zhinuo Technology, a flexible textile pressure sensor developer, raised nearly 100 million yuan in Pre-A funding led by Sequoia Capital's Hidden Gem Fund. The startup uses woven pressure sensing technology for robotics and smart home applications.",https://36kr.com/p/3618139468923911?f=rss
2026-01-05,36Kr,East Asia,Earnings,Chips & Infrastructure,台积电2nm量产初期月产能约3.5万片晶圆，2026年底有望达14万片,"Taiwan Semiconductor Manufacturing Company's 2nm (N2) advanced chip manufacturing process ramped production to 35,000 wafers monthly in early production, with plans to increase to 140,000 wafers monthly by end of 2025.",https://36kr.com/newsflashes/3626066184635648?f=rss
2026-01-05,36Kr,East Asia,Earnings,Chips & Infrastructure,低空经济站上风口，融资资金出手加仓5股,"Low-altitude economy stocks gained investor attention in 2025 as the industry matured, with 5 mid-cap companies including Aerospace Electronics and Aviation Dynamics each receiving over 100 million yuan in institutional investment.",https://36kr.com/newsflashes/3626053219206409?f=rss
2026-01-05,36Kr,East Asia,Product Launch,B2B Applications,腾讯启动AI小程序成长计划,"WeChat launched an AI mini-app growth program providing cloud development resources, AI computing power, data analytics, advertising monetization, and traffic incentives through December 2026.",https://36kr.com/newsflashes/3626011045970952?f=rss
2026-01-05,36Kr,East Asia,Product Launch,B2B Applications,腾讯ima上线PPT生成功能,"Tencent's ima AI work platform launched PowerPoint generation features, allowing users to create presentations using personal knowledge bases with one click.",https://36kr.com/newsflashes/3625991860765704?f=rss
2026-01-05,36Kr,East Asia,Product Launch,Consumer Applications,国内首个生成式视频讲解功能上线有道AI答疑笔,"NetEase's Youdao launched China's first AI video explanation feature in its learning device Youdao AI Answer Pen, enabling AI-generated video lectures from static educational content.",https://36kr.com/newsflashes/3625981003400449?f=rss
2026-01-05,Caixinglobal,North America,Acquisition,Chips & Infrastructure,Trump Orders Chinese-Controlled Firm to Unwind Purchase of U.S. Chip Assets,"President Trump ordered a Chinese-controlled company to divest its acquisition of Emcore Corp.'s aerospace and defense chip assets, citing national security concerns. The action reflects escalating U.S. restrictions on Chinese semiconductor acquisitions.",https://www.caixinglobal.com/2026-01-05/trump-orders-chinese-controlled-firm-to-unwind-purchase-of-us-chip-assets-102400291.html?originReferrer=Feedly
2026-01-05,Financial Times,Global,Product Launch,Consumer Applications,AI start-ups take on Google in fight to reshape web browser market,Unable to generate summary—article content behind paywall.,https://www.ft.com/content/5d566029-6aee-4627-a665-81108a1eb70e
2026-01-04,36Kr,East Asia,Funding,Consumer Applications,28岁拿下小红书开发者大会头奖，种子轮获真格投资｜硬氪首发,"Action&Link, a company specializing in AI-powered immersive gaming controllers, completed a multi-million yuan seed round led by Zhengge Fund. The 28-year-old founder won first place at Xiaohongshu's developer conference with an innovative motion-sensing gaming device.",https://36kr.com/p/3624605578675206?f=rss
2026-01-04,36Kr,East Asia,Executive,Foundation Models,华为云具身机器人负责人离职创业，想用脑认知“改造”机器人大脑丨智能涌现独家,"Zhu Senhua, former head of Huawei Cloud's robotics AI business, founded NeuroGeometry to develop brain-inspired AI for humanoid robots. The startup completed multi-million yuan seed funding from investors including Lean Venture and raised additional Series A from over 10 AI and robotics investors.",https://36kr.com/p/3624490892461057?f=rss
2026-01-04,36Kr,East Asia,Funding,Chips & Infrastructure,李泽湘、甘洁和金沙江投了一家空间智能硬件公司，港科大系出身｜硬氪首发,"Deepshenzhen Boundless Innovation, a spatial intelligence hardware company, completed over 10 million yuan across multiple funding rounds with backing from Li Zexi's XBOTPARK Fund, Gan Jie's Zhixing Fund, and others. The startup develops MetaCam spatial intelligence hardware for robots and autonomous systems.",https://36kr.com/p/3590661917212678?f=rss
2026-01-04,TechCrunch,North America,Product Launch,Consumer Applications,Plaud launches a new AI pin and a desktop meeting notetaker,"Hardware maker Plaud launched the NotePin S, a $179 AI recording pin with 64GB storage and 20-hour battery life, alongside a desktop transcription app for virtual meetings that competes with Granola and Fathom. The company has sold over 1.5 million AI notetaking devices and is expanding from in-person meeting capture into digital meeting transcription.",https://techcrunch.com/2026/01/04/plaud-launches-a-new-ai-pin-and-a-desktop-meeting-notetaker/
2026-01-04,TechCrunch,North America,Product Launch,Consumer Applications,Subtle releases ear buds with its noise isolation models,"Voice AI startup Subtle launched $199 wireless earbuds with proprietary noise isolation models that enable hands-free voice dictation and AI chat across any app, claiming five times fewer transcription errors than AirPods Pro 3 with OpenAI's model. The buds include a one-year iOS/Mac app subscription and target users seeking privacy-preserving voice interfaces.",https://techcrunch.com/2026/01/04/subtle-releases-ear-buds-with-its-noise-cancelation-models/
2026-01-03,Financial Times,Global,Expansion,B2B Applications,London emerges as frontline in US-China battle over robotaxis,Unable to generate summary—article content behind paywall.,https://www.ft.com/content/a507f9d0-c0b2-43e3-9e2b-7ea04dbdb8d4
2026-01-03,VentureBeat,North America,Partnership,Chips & Infrastructure,Nvidia just admitted the general-purpose GPU era is ending,"Nvidia's $20 billion strategic licensing deal with Groq signals the end of general-purpose GPUs as the default AI inference solution, reflecting a shift toward specialized silicon optimized for distinct workloads like context-heavy prefill and fast token-generation decode phases. Inference surpassed training in data center revenue for the first time in late 2025, fragmenting demand across specialized architectures.",https://venturebeat.com/infrastructure/inference-is-splitting-in-two-nvidias-usd20b-groq-bet-explains-its-next-act
2026-01-02,Caixinglobal,East Asia,IPO,Chips & Infrastructure,Chinese AI Chipmaker Biren Skyrockets in Hong Kong Trading Debut,"Biren Technology, a Chinese GPU developer, nearly doubled in value on its Hong Kong IPO debut despite posting steep financial losses. The stock surge reflects intense investor appetite for AI hardware amid global chip demand.",https://www.caixinglobal.com/2026-01-02/chinese-ai-chipmaker-biren-skyrockets-in-hong-kong-trading-debut-102399603.html?originReferrer=Feedly
2026-01-02,Caixinglobal,East Asia,IPO,Chips & Infrastructure,Baidu’s Chip Unit Kunlunxin Files for Hong Kong IPO to Tap AI Investment Boom,Baidu confidentially filed its AI chip subsidiary Kunlunxin for a Hong Kong IPO to capitalize on China's push for homegrown semiconductors amid U.S. export controls. The listing aims to accelerate development of chips for large language models.,https://www.caixinglobal.com/2026-01-02/baidus-chip-unit-kunlunxin-files-for-hong-kong-ipo-to-tap-ai-investment-boom-102399601.html?originReferrer=Feedly
2026-01-02,Caixinglobal,East Asia,IPO,Foundation Models,The Week Ahead (Jan. 5–11): Chinese AI Startups Line Up for Hong Kong IPOs,Multiple Chinese AI startups are preparing Hong Kong IPO filings in early January as investor demand for AI infrastructure companies accelerates. The listing wave reflects a competitive push among Chinese firms to secure capital amid geopolitical constraints.,https://www.caixinglobal.com/2026-01-02/the-week-ahead-jan-511-chinese-ai-startups-line-up-for-hong-kong-ipos-102399599.html?originReferrer=Feedly
2026-01-02,Financial Times,North America,Other,Consumer Applications,Elon Musk’s AI chatbot generates child sexual images,"Elon Musk's AI chatbot has been found to generate child sexual abuse material, raising serious concerns about content moderation and safety guardrails in the platform.",https://www.ft.com/content/0747a53c-19b6-4ed9-8eea-88c327f27fe6
2026-01-02,Financial Times,North America,Executive,Foundation Models,Computer scientist Yann LeCun: ‘Intelligence really is about learning’,"Meta's Chief AI Scientist Yann LeCun discussed his philosophy on machine intelligence, emphasizing that learning mechanisms are fundamental to developing truly intelligent systems.",https://www.ft.com/content/e3c4c2f6-4ea7-4adf-b945-e58495f836c2
2026-01-02,TechCrunch,North America,Earnings,B2B Applications,"How AI is reshaping work and who gets to do it, according to Mercor’s CEO","Three-year-old AI data contractor platform Mercor reached a $10 billion valuation by connecting OpenAI and Anthropic with elite former employees from Goldman Sachs, McKinsey, and law firms who earn up to $200/hour to train AI models. CEO Brendan Foody explained how the company's top 10-20% of contractors drive majority model improvements and positions knowledge work training as the economy's future.",https://techcrunch.com/podcast/how-ai-is-reshaping-work-and-who-gets-to-do-it-according-to-mercors-ceo/
