date,source,source_type,region,category,layer,title,contents,url
2026-01-07,36Kr,rss,North America,Product Launch,Foundation Models,美国高通公司中国区董事长孟樸：CES凸显端侧与物理AI成为人工智能重要突破方向,"Qualcomm's China division executive highlighted at CES 2026 that edge-side AI and physics-informed AI are becoming critical technology breakthroughs, with emphasis on deploying AI at device level for real-time applications in vehicles, wearables, and robotics. The company projects that cloud, edge, and device-level AI will operate collaboratively, with hybrid AI becoming the mainstream model for future development.",https://36kr.com/newsflashes/3628903753975040?f=rss
2026-01-07,36Kr,rss,East Asia,Product Launch,Fine-tuning & MLOps,智元发布开源仿真平台Genie Sim 3.0,"ZhiYuan Robotics launched Genie Sim 3.0, the first large language model-driven open-source simulation platform based on NVIDIA Isaac Sim, at CES 2026. The platform combines 3D reconstruction and visual generation to create digital twin environments at scale, featuring 10,000+ hours of real robot operation data and an evaluation system covering over 100,000 scenarios.",https://36kr.com/newsflashes/3628889296291075?f=rss
2026-01-07,36Kr,rss,East Asia,Expansion,B2B Applications,智谱AI在厦门成立科技新公司，注册资本500万元,"Zhizhu AI, a Beijing-based AI company, established a new subsidiary in Xiamen, China, Zhizhu Huazhang Technology, with registered capital of 5 million yuan. The subsidiary operates in AI application software development, AI algorithms, and foundational AI software development.",https://36kr.com/newsflashes/3628811617928452?f=rss
2026-01-07,36Kr,rss,East Asia,IPO,Chips & Infrastructure,百度旗下AI芯片公司昆仑芯据悉计划通过香港IPO筹资不超过20亿美元,"Kunlun Chip, Baidu's AI semiconductor subsidiary, plans to raise up to $2 billion through a Hong Kong IPO with lead underwriters including China International Capital Corporation and China Securities. The company designs AI chips for data center and computing applications.",https://36kr.com/newsflashes/3628850017485833?f=rss
2026-01-07,Sifted,rss,North America,Other,B2B Applications,ElevenLabs founder Mati Staniszewski: ‘It’s not just about voice anymore’,"Unable to process: The article content appears to be corrupted or encrypted with random characters, making summarization impossible. The content does not contain readable information about ElevenLabs founder Mati Staniszewski.",https://sifted.eu/articles/elevenlabs-mati-staniszewski/
2026-01-07,Financial Times,rss,North America,Other,Foundation Models,Tech Exchange,Unable to process: This page contains only headlines and promotional text for multiple interviews without complete article content. Insufficient information to create a meaningful summary.,https://www.ft.com/tech-exchange
2026-01-07,Financial Times,rss,North America,Other,Foundation Models,Google’s Koray Kavukcuoglu: Turning abstract AI thinking into user-friendly products,"Google's Chief AI Architect Koray Kavukcuoglu discusses Gemini 3, the company's latest large language model launched in November, which can create interactive apps and widgets from user queries. The model impressed rivals, prompting OpenAI CEO Sam Altman to declare a 'code red' to improve ChatGPT's capabilities to compete with Google.",https://www.ft.com/content/3b477836-8a87-4ce3-bea1-719f28952a9a
2026-01-07,Zdnet,rss,North America,Product Launch,B2B Applications,"바디프랜드, CES 2026서 'AI 헬스케어로봇' 글로벌 시장 공략","Korean healthcare robotics company Bodyband showcased 21 new AI wellness robot products at CES 2026, including its flagship Wearbale AI healthcare robot 733 with robotics technology that uses computer vision to analyze body movement for personalized care recommendations.",https://zdnet.co.kr/view/?no=20260107141902
2026-01-07,Zdnet,rss,North America,Product Launch,B2B Applications,"BMW·테슬라 긴장할 휴머노이드 등장…현대차, 차세대 로봇 공개","Hyundai Motor Group revealed next-generation AI humanoid robots at CES 2026, including new Atlas models and autonomous robots powered by Boston Dynamics' Orbit AI, designed for industrial and manufacturing applications across diverse environments.",https://zdnet.co.kr/view/?no=20260107141550
2026-01-07,Zdnet,rss,North America,Product Launch,Chips & Infrastructure,"'알파마요' 내놓은 엔비디아, 성장세 계속 이어질까","Nvidia faces potential slowdown in its growth trajectory despite showcasing its next-generation Vera Rubin AI GPU platform and Alphamayo autonomous driving model at CES 2026, as analysts debate whether the company's rapid expansion can sustain amid data center investment concerns.",https://zdnet.co.kr/view/?no=20260107110942
